,label,producto_code,initialVolume,b,t0
0,p91,1006,6802612202,741914539.6951919,1995
1,p95,1102,191631707,30953666.433400583,1995
2,p48,701,2371400364,72931634.83128718,1995
3,p78,903,73298080,4150580.00760181,1995
4,p60,713,2691052165,311626450.67500305,1995
5,p74,813,604085246,78141661.01376921,1995
6,p85,910,459764221,86612894.77775054,1995
7,p80,905,118268616,23497004.35911089,1995
8,p108,1206,1076407941,112367889.03885493,1995
9,p116,1214,731504877,82833991.56755733,1995
10,p87,1002,409505058,-6321265.084200583,1995
11,p110,1208,196469586,61475490.33448854,1995
12,p115,1213,106985169,8339461.878097091,1995
13,p81,906,146910276,14895217.29129909,1995
14,p61,714,655801964,79241551.94195874,1995
15,p113,1211,1471585491,60571620.67016169,1995
16,p52,705,941441376,79841750.06840712,1995
17,p122,1404,356609473,18929590.73459868,1995
18,p63,802,3200414555,562974047.9313216,1995
19,p105,1203,80481401,1591575.221297539,1995
20,p84,909,145127916,31492285.931541458,1995
21,p89,1004,332154163,20833167.22190445,1995
22,p79,904,890035009,123830116.18700874,1995
23,p92,1007,849813522,31232691.22756007,1995
24,p66,805,5098592752,366493197.03708345,1995
25,p68,807,1140019237,112444547.895302,1995
26,p98,1105,314479042,16165370.530944183,1995
27,p62,801,1084753700,239516251.2640942,1995
28,p97,1104,1267636612,1698847.0269483433,1995
29,p96,1103,493365177,29731407.96156857,1995
30,p104,1202,1058491918,66152985.78960303,1995
31,p107,1205,1691848859,369228923.7651514,1995
32,p57,710,2075220124,199473663.71738204,1995
33,p112,1210,344849422,5776168.264140187,1995
34,p72,811,1024082963,148377764.22527492,1995
35,p100,1107,1571816184,96033519.95799628,1995
36,p56,709,3670524434,447409358.999285,1995
37,p99,1106,138821047,17465147.8696548,1995
38,p109,1207,946391673,150732142.75827548,1995
39,p94,1101,2287652803,105512818.68914989,1995
40,p49,702,2667032896,290209645.93831015,1995
41,p69,808,4046036517,263160585.469636,1995
42,p117,1301,385927710,16814361.36229219,1995
43,p121,1403,39003020,-1772483.980377907,1995
44,p55,708,422639475,49324840.81080992,1995
45,p103,1201,7639312065,2021995329.1211977,1995
46,p54,707,899004010,71155788.9611788,1995
47,p64,803,5659486042,323919369.89426905,1995
48,p71,810,2157238544,515986589.6910395,1995
49,p75,814,31682523,2801592.510997828,1995
50,p77,902,1966565073,231214339.82518768,1995
51,p101,1108,1161113913,120487376.3923054,1995
52,p83,908,123608910,30616142.887090385,1995
53,p102,1109,235900567,46218983.09489549,1995
54,p59,712,1191426481,115990837.41098043,1995
55,p53,706,531071484,57232497.13104072,1995
56,p119,1401,209584762,-867152.5029567428,1995
57,p111,1209,2136221663,229246267.4856535,1995
58,p58,711,504913442,6976649.596652226,1995
59,p90,1005,10984475821,918601430.7453692,1995
60,p88,1003,3018525565,170250977.9075729,1995
61,p70,809,1751971498,183159823.3569712,1995
62,p76,901,14118027589,568379677.2837056,1995
63,p82,907,31881149,16718732.582277237,1995
64,p67,806,2816941851,324531536.2115011,1995
65,p86,1001,18008758503,1102548086.032339,1995
66,p93,1008,230965701,32283701.256044958,1995
67,p114,1212,641883137,36660141.70297071,1995
68,p73,812,293862603,-5185401.392727898,1995
69,p118,1302,1887592922,211389731.90545943,1995
70,p120,1402,7929722,-231544.17126516064,1995
71,p65,804,1488390655,416352712.3004003,1995
72,p51,704,888269760,90141219.97381972,1995
73,p106,1204,283004265,23434678.13255448,1995
74,p50,703,1644193770,206246696.6643845,1995
